Age,POINT_X,POINT_Y
seed,-120.0735003,33.98223623
seed,-120.07353,33.98223694
seed,-120.0732991,33.982423
seed,-120.0728786,33.9824761
seed,-120.0728973,33.98246302
seed,-120.0730108,33.98246798
seed,-120.0729608,33.98246454
seed,-120.07298,33.9825957
seed,-120.1168754,33.94478804
seed,-120.116871,33.9447992
adult,-120.0571565,33.98232102
adult,-120.0571544,33.98232097
adult,-120.0845988,33.9749519
adult,-120.0828136,33.97504703
adult,-120.0827049,33.97504219
adult,-120.0826534,33.97508379
adult,-120.082629,33.97512603
adult,-120.0826035,33.97512092
adult,-120.0819967,33.97520343
adult,-120.0718493,33.98122051
adult,-120.0717676,33.98097968
adult,-120.0715979,33.98150974
adult,-120.0715552,33.98168902
adult,-120.070984,33.98193683
adult,-120.071232,33.98200358
adult,-120.0712281,33.98209589
adult,-120.0711429,33.98209611
adult,-120.0712282,33.9821342
adult,-120.0712275,33.98213419
adult,-120.0712034,33.98220573
adult,-120.0711675,33.98220713
adult,-120.071041,33.98214778
adult,-120.0708938,33.98210145
adult,-120.0707735,33.98221802
adult,-120.0706524,33.98221965
adult,-120.0706234,33.98219642
adult,-120.0706108,33.98228852
adult,-120.0706122,33.98234489
adult,-120.0705706,33.98233714
adult,-120.0705243,33.98240365
adult,-120.070167,33.98229372
adult,-120.069943,33.98253402
adult,-120.0702135,33.98272978
adult,-120.0702825,33.98459967
adult,-120.0702489,33.98469352
adult,-120.0702068,33.98475787
adult,-120.0702349,33.9848239
adult,-120.0616038,33.99219907
adult,-120.0616329,33.99222005
adult,-120.0615759,33.99222544
adult,-120.0686478,33.9798574
adult,-120.068496,33.98000477
adult,-120.0942721,34.0125507
adult,-120.0742459,33.98738038
adult,-120.075184,33.98783314
adult,-120.0753207,33.98808655
adult,-120.0761029,33.98792036
adult,-120.0760034,33.98883071
adult,-120.0804862,33.98016453
adult,-120.0715143,33.98492355
adult,-120.0713605,33.98550708
adult,-120.0735386,33.98583875
adult,-120.0707687,33.98558344
adult,-120.068545,33.9798895
adult,-120.0770982,33.97725158
adult,-120.0772816,33.97726742
adult,-120.0771893,33.97729683
adult,-120.0771797,33.97730812
adult,-120.0771731,33.97730328
adult,-120.0770804,33.97733366
adult,-120.077005,33.97740289
adult,-120.0771993,33.9773168
adult,-120.0773633,33.97743133
adult,-120.0773741,33.97740722
adult,-120.0882189,33.97499947
adult,-120.0883661,33.97511539
adult,-120.0882234,33.97499314
adult,-120.0881961,33.97501442
adult,-120.0883622,33.97511771
adult,-120.0884036,33.97593773
adult,-120.088407,33.97594338
adult,-120.0885174,33.97601181
adult,-120.0885503,33.97589702
adult,-120.0885244,33.97587022
adult,-120.0878644,33.97711486
adult,-120.087289,33.9761184
adult,-120.0868139,33.97645372
adult,-120.0866256,33.97656244
adult,-120.0866468,33.97623241
adult,-120.0870457,33.97668774
adult,-120.0864961,33.97571804
adult,-120.0865051,33.9750838
adult,-120.0766104,33.97744165
adult,-120.0768091,33.97772046
adult,-120.0766021,33.97777622
adult,-120.0615698,33.9921444
adult,-120.0615168,33.99213591
adult,-120.0616077,33.99214711
adult,-120.0616291,33.99216236
adult,-120.0616408,33.99217082
adult,-120.0616732,33.99217735
adult,-120.0616642,33.99218193
all,-120.071197,33.98404066
all,-120.071208,33.98401388
all,-120.071198,33.98399111
all,-120.0712063,33.98394623
all,-120.0711837,33.98393443
all,-120.0711358,33.98404822
all,-120.0711426,33.98406866
all,-120.0709089,33.98425466
all,-120.0709348,33.9842688
all,-120.0709118,33.98428853
all,-120.070909,33.98431325
all,-120.0711358,33.98436373
all,-120.071165,33.98436217
all,-120.0714378,33.98421767
all,-120.0711241,33.98622269
all,-120.071157,33.98624827
all,-120.0711882,33.98622647
all,-120.0625725,33.9939538
all,-120.0626015,33.99397477
all,-120.0625445,33.99398017
all,-120.0696921,33.98155964
all,-120.0696763,33.98164715
all,-120.0696526,33.98166687
all,-120.0696358,33.98164394
all,-120.0696363,33.98164846
all,-120.0696747,33.98159528
