FID,POINT_X,POINT_Y,POINT_Z
228,13570.43214,-440174.3909,301
229,17843.25656,-445015.1375,361.6
230,13738.2417,-439742.6139,297.6
231,13712.71933,-439754.4864,258.8
232,13643.02163,-439755.7047,256.9
233,18252.37908,-444824.2446,444.5
234,18208.34605,-444822.8573,446.2
235,18170.88683,-444799.2713,440.6
236,18431.30936,-444549.8871,426
237,18408.84867,-444630.5393,429
238,18430.17967,-444817.7715,433.4
239,18573.55319,-444693.6032,453.9
240,18570.57187,-444521.8618,452.5
241,18632.65127,-444540.2173,448.7
242,18674.14392,-444722.5994,451.3
243,18742.33763,-444575.8489,460.9
244,18571.52321,-444462.3303,403
245,18579.72657,-444483.2035,399.4
246,18471.96474,-444483.2468,399.7
247,18284.4754,-444417.4553,369.9
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
