OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
30,247,248,248,D:\Users\Wildlands\Desktop\QUTO\0F4A3444.jpg,0F4A3444.jpg,2015:05:28 10:57:33,65535,{1DFB785D-A5CC-4476-A027-9B05AD4F1A3A},-119.6133467,34.01792833,192.1,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
31,252,253,253,D:\Users\Wildlands\Desktop\QUTO\0F4A3449.jpg,0F4A3449.jpg,2015:05:28 10:57:43,65535,{28D35D81-9FDB-4D5A-99D4-1B0DDEEB956B},-119.613035,34.01786,192.7,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
32,258,259,259,D:\Users\Wildlands\Desktop\QUTO\0F4A3455.jpg,0F4A3455.jpg,2015:05:28 10:57:59,65535,{2C0FC7D8-4DC1-4E04-AA2E-B9B7D00D152D},-119.6124783,34.01773333,196.7,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
33,273,274,274,D:\Users\Wildlands\Desktop\QUTO\0F4A3491.jpg,0F4A3491.jpg,2015:04:29 09:34:08,65535,{C8C11A75-EAA0-448A-A345-276CD38BE03D},-119.8501717,34.03953167,387.8,1, ,0,0,0,0,883.5300293,0.348609,549.9569702,5.609000206,23.08930016
34,281,282,282,D:\Users\Wildlands\Desktop\QUTO\0F4A3499.jpg,0F4A3499.jpg,2015:04:29 09:34:12,65535,{95C219C3-EA9F-4F87-BB92-3681C5386F92},-119.849565,34.03960333,476.7,1, ,0,0,0,0,883.5300293,0.348609,549.9569702,5.609000206,23.08930016
35,309,310,310,D:\Users\Wildlands\Desktop\QUTO\0F4A3527.jpg,0F4A3527.jpg,2015:04:29 09:34:26,65535,{3DED4959-7693-460B-93C5-D3B246090275},-119.8493133,34.03969,515.6,1, ,0,0,0,0,883.5300293,0.348609,549.9569702,5.609000206,23.08930016
36,313,314,314,D:\Users\Wildlands\Desktop\QUTO\0F4A3536.jpg,0F4A3536.jpg,2015:04:29 09:34:47,65535,{A4A82CB0-EF67-4C72-9993-FC2955295A6A},-119.847765,34.04170833,527.6,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
37,323,324,324,D:\Users\Wildlands\Desktop\QUTO\0F4A3546.jpg,0F4A3546.jpg,2015:04:29 09:35:08,65535,{02A616AD-B26E-4154-AA3C-0C930103375E},-119.847065,34.04212167,567.4,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
38,333,334,334,D:\Users\Wildlands\Desktop\QUTO\0F4A3556.jpg,0F4A3556.jpg,2015:04:29 09:35:18,65535,{68DC993D-EDB9-4474-B414-C58707A9BE5D},-119.84708,34.04233333,574.5,1, ,0,0,0,0,887.2269897,0.400979996,572.21698,5.366000175,22.84670067
39,353,354,354,D:\Users\Wildlands\Desktop\QUTO\0F4A3576.jpg,0F4A3576.jpg,2015:04:29 09:35:26,65535,{9F12047C-11BF-4671-94B8-989A1B9F2B17},-119.847445,34.04233167,571.2,1, ,0,0,0,0,887.2269897,0.400979996,572.21698,5.366000175,22.84670067
40,364,365,365,D:\Users\Wildlands\Desktop\QUTO\0F4A3587.jpg,0F4A3587.jpg,2015:04:29 09:35:44,65535,{040D0057-F1A1-419B-BE02-4CBC8DA6933A},-119.8473817,34.04242833,568.7,1, ,0,0,0,0,887.2269897,0.400979996,572.21698,5.366000175,22.84670067
41,390,391,391,D:\Users\Wildlands\Desktop\QUTO\0F4A3613.jpg,0F4A3613.jpg,2015:04:29 09:35:57,65535,{922FD10E-9301-48E6-BA35-8D2DE3F36278},-119.8478217,34.042645,570.6,1, ,0,0,0,0,887.2269897,0.400979996,572.21698,5.366000175,22.84670067
